"sendgrid", "Send Grid"
"sendgrid_api_key", "API Schlüssel"
"sendgrid_settings", "Send Grid Einstellungen"
"sendgrid_settings_multi_site_smtp", "Multisite SMTP"
"sendgrid_category_stats", "Statistiken"
"sendgrid_reports","SendGrid Berichte"
"sendgrid_bounces", "Bounces"
"sendgrid_bounces_remove_all", "Alle Bounces löschen"
"sendgrid_bounce_remove", "Bounce löschen"
"sendgrid_blocks", "Blocks"
"sendgrid_blocks_remove_all", "Alle Blocks löschen"
"sendgrid_block_remove", "Block löschen"
"sendgrid_report_day","Tag"
"sendgrid_report_day_minus","Tag -1"
"sendgrid_report_month","Monat"
"sendgrid_report_month_minus","Monat -1"
"sendgrid_report_year","Jahr"
"sendgrid_report_year_minus","Jahr -1"
"sendgrid_report_from","Von"
"sendgrid_report_to","Bis"
"sendgrid_report_filter","Filter"
"sendgrid_report_groups","Gruppierung"
"sendgrid_report_groups_day","Tag"
"sendgrid_report_groups_week","Woche"
"sendgrid_report_groups_month","Monat"
"sendgrid_email","Email"
"sendgrid_reason","Grund"
"sendgrid_status","Status"
"sendgrid_created","Erstellt am"
