"sendgrid", "Send Grid"
"sendgrid_api_key", "API Key"
"sendgrid_settings", "Send Grid Settings"
"sendgrid_settings_multi_site_smtp", "Multisite SMTP"
"sendgrid_category_stats", "Statistics"
"sendgrid_reports","SendGrid Reports"
"sendgrid_bounces","Bounces"
"sendgrid_bounces_remove_all", "Remove all Bounces"
"sendgrid_bounce_remove", "Remove Bounce"
"sendgrid_blocks", "Blocks"
"sendgrid_blocks_remove_all", "Remove all Blocks"
"sendgrid_block_remove", "Remove Block"
"sendgrid_report_day","Day"
"sendgrid_report_day_minus","Day -1"
"sendgrid_report_month","Month"
"sendgrid_report_month_minus","Month -1"
"sendgrid_report_year","Year"
"sendgrid_report_year_minus","Year -1"
"sendgrid_report_from","From"
"sendgrid_report_to","To"
"sendgrid_report_filter","Filter"
"sendgrid_report_groups","Group by"
"sendgrid_report_groups_day","Day"
"sendgrid_report_groups_week","Week"
"sendgrid_report_groups_month","Month"
"sendgrid_email","Email"
"sendgrid_reason","Reason"
"sendgrid_status","Status"
"sendgrid_created","Created"
